yearID,lgID,hits,atbat,doubles,triples,homeruns,singles,slug_perc
1992,AL,20006,77147,3596,386,1776,14248,0.3850052497180707
1996,NL,20398,77711,3782,434,2220,13962,0.4080246039814183
2000,NL,23594,88743,4632,532,3005,15425,0.43163967862253927
1964,NL,14032,55284,2161,427,1211,10233,0.3740684465668186
1949,NL,11207,42711,1865,370,935,8037,0.38905668329001897
1996,AL,21922,79090,4205,421,2742,14554,0.4449993678088254
1955,NL,10808,41773,1677,362,1263,7506,0.4069135566035477
1985,AL,20182,77257,3562,528,2178,13914,0.4055813712673285
1980,AL,20958,77888,3489,553,1844,15072,0.3990987058340181
1980,NL,17186,66272,2856,523,1243,12564,0.37447187349106714
2011,AL,20004,77586,4005,411,2271,13317,0.4078570876189003
2000,AL,21652,78547,4269,420,2688,14275,0.4433651189733535
2022,AL,19839,81816,3956,295,2557,13031,0.39180600371565466
1972,AL,14751,61712,2260,316,1175,11000,0.3430127041742287
